리뷰ID,작성자,프로필이미지,평점,작성일,상품옵션,구매자정보,리뷰라벨,리뷰내용
REVIEW_ITEM_4715012787,bril*******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,"한달사용너무나 유용하게 잘쓰고 있습니다 일자목 탈출하고 싶고요
처음에는 흰색바탕 검은색 바탕 다른거 몰랐다가 며칠 쓴뒤에 알았는데 때에 따라 앞뒤 다르게 쓰고 있어요 
매일 꾸준히 하면 일자목 탈출할수 있길 바랍니다"
REVIEW_ITEM_4711141005,whda******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,1,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,여행 다녀오냐고 두번 밖에 못 써 봤는데 일단 받았는데 새상품 치고 더러움 좋은지는 차차 써보려구요
REVIEW_ITEM_4718532431,near***********,https://phinf.pstatic.net/contact/20180725_216/153248525186292m2g_JPEG/logo2.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"사용하기도 편하고 제품이 생각보다 가볍네여
메모리폼? 같은 재질이에여~~
대신 가벼워서 여행갈때도 가지고 다니기 좋을 것 같아요"
REVIEW_ITEM_4711453247,blue*****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,백지영님 유튜브에서 효과가 너무 좋다고 해서 주문했어요! 운좋게 판매회차 마지말날즘 구매해서 거의 기다리지않고 받았습니다! 받고 가장 놀란건 의료기기라고 정확히 명시된 점이에요 정말루 의료기기라니 믿고 쓸수있을것같아요 제품을 접는데 좀 힘이들지만 잘 써보려고합니다 ㅎㅎ
REVIEW_ITEM_4714263608,dear*******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,한달사용생각날때마다 하루에 1-2회정도 하는데 하고나면 확실히 개운해요!! 다만 아직 스킬이 부족해서 어디에 맞춰야할지 모르겠어요 사용하다보면 익숙해지겠죠!  목어깨 마사지기등 부피가 크고 충전등으로 사용이 번거로웠는데 이제품 너무 좋아요~~
REVIEW_ITEM_4720082712,youm****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,아직 좋은지모르겟는데 하면 등이 뻐근한느낌들면서 뭔가땅겨지는 느낌들어요. 이게 정상인가요?? 어쨋든 잘쓰고있어요
REVIEW_ITEM_4712390799,suoo***,https://phinf.pstatic.net/contact/20250417_78/1744891534697jfxkF_JPEG/KakaoTalk_20241121_221409907.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,고개를 숙이고 일하는 직업이라 찾다가 유튜브 쇼츠보고 구매했는데 진짜 좋네요! 이게 누워있을땐 그냥 그런데..? 싶은데 한 10분 누워있다가 일어나면 목이 정말 시원해요!
REVIEW_ITEM_4719791517,yerw****,https://phinf.pstatic.net/contact/20210906_289/1630939263258TPP8u_PNG/avatar_profile.png?type=f76_76,4,,구성: 싱글세트(1개),,,목에 대고 하고 있는데 이렇게 하는게 맞는지 아직도 헷갈리긴 해요ㅎㅎ 그래도 시원해지는 느낌이 있어서 맞겠거니 하고 있어요.~~
REVIEW_ITEM_4716341345,bsi0***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"큰 차이는 아직 모르겠으나 점차 쓰다보면 좋아질 거라 믿습니당^^
항상 침대 머리맡에 올려두고 자기전에 누워서 사용중이에요. 알람맞춰놓고 잠시 휴대폰하면서 하몀ㄴ 시간이 금방 지나서  딱이에요~"
REVIEW_ITEM_4716315395,agig***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,한달사용일자목에 목과 어깨가 불편해서 검색하다가 구입하게 되었어요 받자마자 해봤는데 구부리기도 힘들고 목에 고정하기도 어려웠는데 해보니까 시원한거 같아서 잘 적응하면 괜찮을 거 같아요 잘 쓰겠습니다!
REVIEW_ITEM_4717554324,tnwj****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,"한달사용한달 후기입니다. 
틈틈히 목스트레칭도 하면서 사용했는데 
정말 신기하게 몇년동안 아팠던 목디스크가 
안아파요.... 꾸준히 사용해서 디스크 완치하고싶어요."
REVIEW_ITEM_4703165293,kima***,https://phinf.pstatic.net/contact/20230910_270/1694311864829HRI5I_JPEG/eee-3937-kimalfo.jpg?type=f76_76,5,,구성: 싱글세트(1개),,,"생각보다 가볍고 잘 눌려져요!
며칠 써본바로는 10분 있었다고 막 시원하거나 이런느낌은 아닌데 뭔가 하고나면 목 포지션이 바뀐느낌?? 이런게 있어요 
병원에서 받는 견인을 안받아봐서 비슷한 느낌인지는 모르겠지만 목의 정렬을 바른위치로 다시 맞춰주는 느낌?!
그런건 있네요
길게 꾸준히 써보고싶긴해요!!
목 건강에 도움됐으면 좋겠네요 ㅠㅠ"
REVIEW_ITEM_4709078047,wish***,https://phinf.pstatic.net/contact/20210410_267/1618032458719g8980_JPEG/%C7%C1%B7%CE%C7%CA.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"목디스크 26살때 터져서 안써본 제품이 없는데 넥 스트레처 이후로 제일 맘에 드는 제품입니다. 40얼마 짜리 풀** 사고 집에서 두번 쓰고 먼지만 그득한데 
이 제품은 정말 만족합니다. 정말 목디스크나 거북목 있으신 분들은 이 제품은 필수로 구비하세요 !!!"
REVIEW_ITEM_4720583334,ji98****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,"한달사용지금 꾸준히 사용하고있어요,큰 효과는 잘모르겠으나 하고 나면 목이 시원한 느낌이 들어서 좋아요"
REVIEW_ITEM_4713955819,rain*****,https://phinf.pstatic.net/contact/20210901_253/1630499457790O4BVT_JPEG/profileImage.jpg?type=f76_76,4,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,좋아요! 조금 밀리기는 하는데 요가매트 깔고 씻고 나와서 하면 아주 목이 쫙 풀리면서 좋습니다. 한 번 꾸준히 사용해볼게요!
REVIEW_ITEM_4703317904,geum******,https://phinf.pstatic.net/contact/20230318_158/1679132512453Lp2fF_JPEG/IMG_6198.JPG?type=f76_76,5,,구성: 싱글세트(1개),,,"우연히 유튜브 보다가 백지영님이 이거 제발 다시 팔아달라하는거 보고 뭐지하고 찾아보다 뭔가 믿음가는거 같아서 반신반의 하면서 구매 근데 대박임....
직업때문에 하고 오래 앉아있고 그림그리는 직업이라 일자목에 디스크까지있는데 거북목으로 변경 중에 목뒤에 버섯까지 자라는중임
처음이라 어색해서 조절하고 하다보니 7분정도 했는데 천천히 힘빼고 느끼면 목디스크사이사이가 점점 늘어나는? 기분 그러고 일어났더니 머리에 피가 갑자기 도는 느낌 그리고 목이 길어진 느낌 대박임..
목도 돌리기 수월해짐 엄마가 요즘 두통이 심해서 병원가서 뇌검사 해야하나 고민하고 있어서 한번만해보라고 목디스크 때문일거라고 설득해서 시켰는데 3분정도 만 했음 근데 일어나자마자 머리아픈게 없어졌다고 피가 도는게 느껴져서 소름끼친다고 목이 길어진거 같고 목도 잘돌아간다고 좋아함 짱임 계속 사용할거 같음 

이거 처음에 이게맞나 싶을정도로 잘 안 접히는데 
바닥에 무게실어서 접고 좀있으면 어느정도 수월해짐 그러면 꽉잡아서 누워서 목이랑어깨 시작부분쯤 이랑 목이랑 머리 시작부분쯤 혹은 그거보다 좀더 안쪽으로? 하면서 위치 본인한테 맞는곳으로 하면 처음에는 위치 잘 못잡아서 자꾸 쳐질수있는데 위치만 잘 잡으면 여기다 싶은곳이 있음 거기에 잘 걸치고 느껴보셈 천국을 경험할거임 

많이 파십쇼!!!"
REVIEW_ITEM_4713362211,kyun******,https://phinf.pstatic.net/contact/profile/blog/83/84/kyungjin25.jpg?type=f76_76,4,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"견인치료에 혹해서 샀어요
처음새거일때는 접히는부분이 너무 빨리 펴지려해서 힘으로 누르고해서인지 좀 아팟는데 지금은 너무 부드러워져서 새거일때처럼 펴지려고하는 견인되는 느낌은없지만 그래도 시원하니 스트래칭한 느낌"
REVIEW_ITEM_4704394574,powe********,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,"한달사용목디스크가 갑자기 나타나면서 하루아침에 운전도 못하게 되었었는데
병원치료 받으면서 도움받을만한거 검색해보다 우연히 알게되었고 매일 사용했어요

정말 간편하고 휴대하기도 편하고 
누울곳만 있다면 어디에서든 사용할수있어서 좋았습니다
거북목이 시원해지면서 연관성이 있는지는 모르겠지만 눈도 침침한게 좋아졌어요

지금은 목 심하게 눌려서 아픈것도 많이 좋아졌습니다
거북목인분들 큰 통증없어도 써보세요 
정말 시원합니다 강력추천드려요"
REVIEW_ITEM_4720154646,gjss******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,4,,구성: 싱글세트(1개),,,"제가 서툴러서 그런지
엄청 손이가거나 자주하지는 않지만
시원한.느낌은 있어요"
REVIEW_ITEM_4714160217,didi***,https://phinf.pstatic.net/contact/20230620_82/16872343056691iO9M_JPEG/image.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"일자목이고 요즘 공부하구 일하느라 목부근이 뻐근하고 너무아픈데 이거 하고 나아지는거같아요
처음 써보고 목뒷부분이 늘어났는지 파스붙인거처럼 잠깐 시원한 느낌들어서 놀랐어요 굿굿 넘 좋아요"
REVIEW_ITEM_4720744051,sjjo*****,https://phinf.pstatic.net/contact/20250202_79/17384982271523mQtl_JPEG/KakaoTalk_20240525_184614525.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,목디스크로 고생하고잇는 어머니한테 선물해드렸어요! 너무좋다고하시네요
REVIEW_ITEM_4703775468,kth0***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"숏츠로 우연히 보고
검색해서 구매했어요
목이 불편해서 늘 고민이였는데
평이 워낙 좋아서 기대중입니다
열심히 해볼게요"
REVIEW_ITEM_4717217781,ahhw***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,목디스크가 있는 가족이 있어서 구매했는데 건강한 제가 해보니까 잘 모르겠네요 디스크 있는 거족에게 주었는데 효과가 있었으면 좋겠어요
